time_min,train_1_displacement_miles,train_2_displacement_miles,bird_displacement_miles
6.75,5.625,94.375,27
6.766666667,5.638888889,94.36111111,27.06666667
6.783333333,5.652777778,94.34722222,27.13333333
6.8,5.666666667,94.33333333,27.2
6.816666667,5.680555556,94.31944444,27.26666667
6.833333333,5.694444444,94.30555556,27.33333333
6.85,5.708333333,94.29166667,27.4
6.866666667,5.722222222,94.27777778,27.46666667
6.883333333,5.736111111,94.26388889,27.53333333
6.9,5.75,94.25,27.6
6.916666667,5.763888889,94.23611111,27.66666667
6.933333333,5.777777778,94.22222222,27.73333333
6.95,5.791666667,94.20833333,27.8
6.966666667,5.805555556,94.19444444,27.86666667
6.983333333,5.819444444,94.18055556,27.93333333
7,5.833333333,94.16666667,28
7.016666667,5.847222222,94.15277778,28.06666667
7.033333333,5.861111111,94.13888889,28.13333333
7.05,5.875,94.125,28.2
7.066666667,5.888888889,94.11111111,28.26666667
7.083333333,5.902777778,94.09722222,28.33333333
7.1,5.916666667,94.08333333,28.4
7.116666667,5.930555556,94.06944444,28.46666667
7.133333333,5.944444444,94.05555556,28.53333333
7.15,5.958333333,94.04166667,28.6
7.166666667,5.972222222,94.02777778,28.66666667
7.183333333,5.986111111,94.01388889,28.73333333
7.2,6,94,28.8
7.216666667,6.013888889,93.98611111,28.86666667
7.233333333,6.027777778,93.97222222,28.93333333
7.25,6.041666667,93.95833333,29
7.266666667,6.055555556,93.94444444,29.06666667
7.283333333,6.069444444,93.93055556,29.13333333
7.3,6.083333333,93.91666667,29.2
7.316666667,6.097222222,93.90277778,29.26666667
7.333333333,6.111111111,93.88888889,29.33333333
7.35,6.125,93.875,29.4
7.366666667,6.138888889,93.86111111,29.46666667
7.383333333,6.152777778,93.84722222,29.53333333
7.4,6.166666667,93.83333333,29.6
7.416666667,6.180555556,93.81944444,29.66666667
7.433333333,6.194444444,93.80555556,29.73333333
7.45,6.208333333,93.79166667,29.8
7.466666667,6.222222222,93.77777778,29.86666667
7.483333333,6.236111111,93.76388889,29.93333333
7.5,6.25,93.75,30
7.516666667,6.263888889,93.73611111,30.06666667
7.533333333,6.277777778,93.72222222,30.13333333
7.55,6.291666667,93.70833333,30.2
7.566666667,6.305555556,93.69444444,30.26666667
7.583333333,6.319444444,93.68055556,30.33333333
7.6,6.333333333,93.66666667,30.4
7.616666667,6.347222222,93.65277778,30.46666667
7.633333333,6.361111111,93.63888889,30.53333333
7.65,6.375,93.625,30.6
7.666666667,6.388888889,93.61111111,30.66666667
7.683333333,6.402777778,93.59722222,30.73333333
7.7,6.416666667,93.58333333,30.8
7.716666667,6.430555556,93.56944444,30.86666667
7.733333333,6.444444444,93.55555556,30.93333333
7.75,6.458333333,93.54166667,31
7.766666667,6.472222222,93.52777778,31.06666667
7.783333333,6.486111111,93.51388889,31.13333333
7.8,6.5,93.5,31.2
7.816666667,6.513888889,93.48611111,31.26666667
7.833333333,6.527777778,93.47222222,31.33333333
7.85,6.541666667,93.45833333,31.4
7.866666667,6.555555556,93.44444444,31.46666667
7.883333333,6.569444444,93.43055556,31.53333333
7.9,6.583333333,93.41666667,31.6
7.916666667,6.597222222,93.40277778,31.66666667
7.933333333,6.611111111,93.38888889,31.73333333
7.95,6.625,93.375,31.8
7.966666667,6.638888889,93.36111111,31.86666667
7.983333333,6.652777778,93.34722222,31.93333333
8,6.666666667,93.33333333,32
8.016666667,6.680555556,93.31944444,32.06666667
8.033333333,6.694444444,93.30555556,32.13333333
8.05,6.708333333,93.29166667,32.2
8.066666667,6.722222222,93.27777778,32.26666667
8.083333333,6.736111111,93.26388889,32.33333333
8.1,6.75,93.25,32.4
8.116666667,6.763888889,93.23611111,32.46666667
8.133333333,6.777777778,93.22222222,32.53333333
8.15,6.791666667,93.20833333,32.6
8.166666667,6.805555556,93.19444444,32.66666667
8.183333333,6.819444444,93.18055556,32.73333333
8.2,6.833333333,93.16666667,32.8
8.216666667,6.847222222,93.15277778,32.86666667
8.233333333,6.861111111,93.13888889,32.93333333
8.25,6.875,93.125,33
8.266666667,6.888888889,93.11111111,33.06666667
8.283333333,6.902777778,93.09722222,33.13333333
8.3,6.916666667,93.08333333,33.2
8.316666667,6.930555556,93.06944444,33.26666667
8.333333333,6.944444444,93.05555556,33.33333333
8.35,6.958333333,93.04166667,33.4
8.366666667,6.972222222,93.02777778,33.46666667
8.383333333,6.986111111,93.01388889,33.53333333
8.4,7,93,33.6
8.416666667,7.013888889,92.98611111,33.66666667
8.433333333,7.027777778,92.97222222,33.73333333
8.45,7.041666667,92.95833333,33.8
8.466666667,7.055555556,92.94444444,33.86666667
8.483333333,7.069444444,92.93055556,33.93333333
8.5,7.083333333,92.91666667,34
8.516666667,7.097222222,92.90277778,34.06666667
8.533333333,7.111111111,92.88888889,34.13333333
8.55,7.125,92.875,34.2
8.566666667,7.138888889,92.86111111,34.26666667
8.583333333,7.152777778,92.84722222,34.33333333
8.6,7.166666667,92.83333333,34.4
8.616666667,7.180555556,92.81944444,34.46666667
8.633333333,7.194444444,92.80555556,34.53333333
8.65,7.208333333,92.79166667,34.6
8.666666667,7.222222222,92.77777778,34.66666667
